locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFJHKHAP_01013	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
IFJHKHAP_01014	CDS	1404	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
IFJHKHAP_01015	CDS	840	ftsA_1			Cell division protein FtsA
IFJHKHAP_01016	CDS	1188	mdh_2	1.1.1.244		NAD-dependent methanol dehydrogenase
IFJHKHAP_01017	CDS	1227				hypothetical protein
IFJHKHAP_01018	CDS	1404				hypothetical protein
IFJHKHAP_01019	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
IFJHKHAP_01020	CDS	897	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
IFJHKHAP_01021	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
IFJHKHAP_01022	CDS	495	eutK		COG4577	Ethanolamine utilization protein EutK
IFJHKHAP_01023	CDS	969				hypothetical protein
IFJHKHAP_01024	CDS	1278				hypothetical protein
IFJHKHAP_01025	CDS	330				hypothetical protein
IFJHKHAP_01026	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
IFJHKHAP_01027	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
IFJHKHAP_01028	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
IFJHKHAP_01029	CDS	450	yfeZ			Inner membrane protein YfeZ
IFJHKHAP_01030	CDS	576	yfeY			putative protein YfeY
IFJHKHAP_01031	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
IFJHKHAP_01032	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
IFJHKHAP_01033	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
IFJHKHAP_01034	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
IFJHKHAP_01035	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
IFJHKHAP_01036	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
IFJHKHAP_01037	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
IFJHKHAP_01038	CDS	540				hypothetical protein
IFJHKHAP_01039	CDS	363				hypothetical protein
IFJHKHAP_01040	CDS	720				hypothetical protein
IFJHKHAP_01041	CDS	1293	ptsJ		COG1167	Vitamin B6 salvage pathway transcriptional repressor PtsJ
IFJHKHAP_01042	CDS	867	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
IFJHKHAP_01043	CDS	240				hypothetical protein
IFJHKHAP_01044	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
IFJHKHAP_01045	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
IFJHKHAP_01046	CDS	258	ptsH_2		COG1925	Phosphocarrier protein HPr
IFJHKHAP_01047	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
IFJHKHAP_01048	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
IFJHKHAP_01049	CDS	987	zipA		COG3115	Cell division protein ZipA
IFJHKHAP_01050	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
IFJHKHAP_01051	CDS	219				hypothetical protein
IFJHKHAP_01052	CDS	999				hypothetical protein
IFJHKHAP_01053	CDS	927	oxyR_1			Hydrogen peroxide-inducible genes activator
IFJHKHAP_01054	CDS	762				hypothetical protein
IFJHKHAP_01055	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
IFJHKHAP_01056	CDS	1257	xapB			Xanthosine permease
IFJHKHAP_01057	CDS	159				hypothetical protein
IFJHKHAP_01058	CDS	885	hcaR_1			Hca operon transcriptional activator HcaR
IFJHKHAP_01059	tRNA	76				tRNA-Lys(ttt)
IFJHKHAP_01060	tRNA	76				tRNA-Val(tac)
IFJHKHAP_01061	tRNA	76				tRNA-Val(tac)
IFJHKHAP_01062	tRNA	76				tRNA-Val(tac)
IFJHKHAP_01063	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
IFJHKHAP_01064	CDS	372				hypothetical protein
IFJHKHAP_01065	CDS	363				hypothetical protein
IFJHKHAP_01066	tRNA	76				tRNA-Ala(ggc)
IFJHKHAP_01067	tRNA	76				tRNA-Ala(ggc)
IFJHKHAP_01068	CDS	2190	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
IFJHKHAP_01069	CDS	1092	nupC		COG1972	Nucleoside permease NupC
IFJHKHAP_01070	CDS	1242	mntH		COG1914	Divalent metal cation transporter MntH
IFJHKHAP_01071	CDS	327				hypothetical protein
IFJHKHAP_01072	CDS	999	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
IFJHKHAP_01073	CDS	1653	ipdC	4.1.1.74	COG3961	Indole-3-pyruvate decarboxylase
IFJHKHAP_01074	CDS	1236	yfeO			Putative ion-transport protein YfeO
IFJHKHAP_01075	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
IFJHKHAP_01076	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
IFJHKHAP_01077	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
IFJHKHAP_01078	CDS	114				hypothetical protein
IFJHKHAP_01079	CDS	243				hypothetical protein
IFJHKHAP_01080	CDS	1392	pgtP		COG2271	Phosphoglycerate transporter protein
IFJHKHAP_01081	CDS	1275	pgtC		COG1840	Phosphoglycerate transport regulatory protein PgtC
IFJHKHAP_01082	CDS	2007	pgtB	2.7.13.3	COG4192	Phosphoglycerate transport system sensor protein PgtB
IFJHKHAP_01083	CDS	1251	dctD			C4-dicarboxylate transport transcriptional regulatory protein DctD
IFJHKHAP_01084	CDS	96				hypothetical protein
IFJHKHAP_01085	CDS	939	pla	3.4.23.48		Coagulase/fibrinolysin
IFJHKHAP_01086	tRNA	75				tRNA-Arg(cct)
IFJHKHAP_01087	CDS	942	yfdC		COG2116	Inner membrane protein YfdC
IFJHKHAP_01088	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
IFJHKHAP_01089	CDS	1308	fadL		COG2067	Long-chain fatty acid transport protein
IFJHKHAP_01090	CDS	285				hypothetical protein
IFJHKHAP_01091	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
IFJHKHAP_01092	CDS	2148	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
IFJHKHAP_01093	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
IFJHKHAP_01094	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
IFJHKHAP_01095	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
IFJHKHAP_01096	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
IFJHKHAP_01097	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
IFJHKHAP_01098	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
IFJHKHAP_01099	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
IFJHKHAP_01100	CDS	276				hypothetical protein
IFJHKHAP_01101	CDS	2001	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
IFJHKHAP_01102	CDS	1215	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
IFJHKHAP_01103	CDS	657				hypothetical protein
IFJHKHAP_01104	CDS	519				hypothetical protein
IFJHKHAP_01105	CDS	369				hypothetical protein
IFJHKHAP_01106	CDS	249				hypothetical protein
IFJHKHAP_01107	CDS	375				hypothetical protein
IFJHKHAP_01108	CDS	1179	yfcJ_1			putative MFS-type transporter YfcJ
IFJHKHAP_01109	CDS	1002	flk			Flagellar regulator flk
IFJHKHAP_01110	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
IFJHKHAP_01111	CDS	1014	usg		COG0136	USG-1 protein
IFJHKHAP_01112	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
IFJHKHAP_01113	CDS	660	dedA		COG0586	Protein DedA
IFJHKHAP_01114	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
IFJHKHAP_01115	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
IFJHKHAP_01116	CDS	675	dedD			Cell division protein DedD
IFJHKHAP_01117	CDS	489	cvpA		COG1286	Colicin V production protein
IFJHKHAP_01118	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
IFJHKHAP_01119	CDS	1428	rocR		COG3829	Arginine utilization regulatory protein RocR
IFJHKHAP_01120	CDS	1398	lysA_1	4.1.1.20	COG0019	Diaminopimelate decarboxylase
IFJHKHAP_01121	CDS	1422	gadC		COG0531	Glutamate/gamma-aminobutyrate antiporter
IFJHKHAP_01122	CDS	1104	orr	5.1.1.12	COG3457	Ornithine racemase
IFJHKHAP_01123	CDS	1407	rocC		COG0833	Amino-acid permease RocC
IFJHKHAP_01124	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
IFJHKHAP_01125	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
IFJHKHAP_01126	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
IFJHKHAP_01127	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
IFJHKHAP_01128	CDS	708	hisM		COG4160	Histidine transport system permease protein HisM
IFJHKHAP_01129	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
IFJHKHAP_01130	CDS	894				Epimerase family protein
IFJHKHAP_01131	CDS	648	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
IFJHKHAP_01132	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
IFJHKHAP_01133	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
IFJHKHAP_01134	CDS	555	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
IFJHKHAP_01135	CDS	1020	gntR_3			HTH-type transcriptional regulator GntR
IFJHKHAP_01136	CDS	444	ulaC_1		COG1762	Ascorbate-specific PTS system EIIA component
IFJHKHAP_01137	CDS	273				hypothetical protein
IFJHKHAP_01138	CDS	1392	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
IFJHKHAP_01139	CDS	831	aptA	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
IFJHKHAP_01140	CDS	954	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
IFJHKHAP_01141	CDS	1521				hypothetical protein
IFJHKHAP_01142	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
IFJHKHAP_01143	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
IFJHKHAP_01144	CDS	456				hypothetical protein
IFJHKHAP_01145	CDS	495				hypothetical protein
IFJHKHAP_01146	CDS	660	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
IFJHKHAP_01147	CDS	1827				hypothetical protein
IFJHKHAP_01148	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
IFJHKHAP_01149	CDS	1215	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
IFJHKHAP_01150	CDS	936	hdfR_3			HTH-type transcriptional regulator HdfR
IFJHKHAP_01151	CDS	444	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
IFJHKHAP_01152	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
IFJHKHAP_01153	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
IFJHKHAP_01154	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
IFJHKHAP_01155	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
IFJHKHAP_01156	CDS	2727	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
IFJHKHAP_01157	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
IFJHKHAP_01158	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
IFJHKHAP_01159	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
IFJHKHAP_01160	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
IFJHKHAP_01161	CDS	1842	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
IFJHKHAP_01162	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
IFJHKHAP_01163	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
IFJHKHAP_01164	CDS	1782				hypothetical protein
IFJHKHAP_01165	CDS	1002	cheV		COG0784	Chemotaxis protein CheV
IFJHKHAP_01166	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
IFJHKHAP_01167	CDS	462	elaA		COG2153	Protein ElaA
IFJHKHAP_01168	CDS	306	elaB		COG4575	Protein ElaB
IFJHKHAP_01169	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
IFJHKHAP_01170	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
IFJHKHAP_01171	CDS	759	menH_1	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
IFJHKHAP_01172	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
IFJHKHAP_01173	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
IFJHKHAP_01174	CDS	1368	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
IFJHKHAP_01175	CDS	258	pmrD			Signal transduction protein PmrD
IFJHKHAP_01176	CDS	378	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
IFJHKHAP_01177	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
IFJHKHAP_01178	CDS	1647	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
IFJHKHAP_01179	CDS	900	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
IFJHKHAP_01180	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
IFJHKHAP_01181	CDS	984	arnC	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
IFJHKHAP_01182	CDS	1140	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
IFJHKHAP_01183	CDS	393	ais_1	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
IFJHKHAP_01184	CDS	216	ais_2	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
IFJHKHAP_01185	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
IFJHKHAP_01186	CDS	567				hypothetical protein
IFJHKHAP_01187	CDS	1197	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
IFJHKHAP_01188	CDS	783	rhmR_2		COG1414	putative HTH-type transcriptional regulator RhmR
IFJHKHAP_01189	CDS	1206	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
IFJHKHAP_01190	CDS	1290	rhmT			Inner membrane transport protein RhmT
IFJHKHAP_01191	CDS	804	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
IFJHKHAP_01192	CDS	177				hypothetical protein
IFJHKHAP_01193	CDS	1023	sseL	3.4.22.-		Deubiquitinase SseL
IFJHKHAP_01194	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
IFJHKHAP_01195	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
IFJHKHAP_01196	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
IFJHKHAP_01197	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
IFJHKHAP_01198	CDS	1083	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
IFJHKHAP_01199	CDS	879	gltC_2			HTH-type transcriptional regulator GltC
IFJHKHAP_01200	CDS	1218	cntE			Staphylopine export protein
IFJHKHAP_01201	CDS	255				hypothetical protein
IFJHKHAP_01202	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
IFJHKHAP_01203	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
IFJHKHAP_01204	CDS	729	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
IFJHKHAP_01205	CDS	885				hypothetical protein
IFJHKHAP_01206	CDS	1326	ttuB_3			Putative tartrate transporter
IFJHKHAP_01207	CDS	1203	rspA_1	4.2.1.-	COG4948	D-galactonate dehydratase family member RspA
IFJHKHAP_01208	CDS	2637	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
IFJHKHAP_01209	CDS	2847	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
IFJHKHAP_01210	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
IFJHKHAP_01211	CDS	2670	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
IFJHKHAP_01212	CDS	1137	ompC_1		COG3203	Outer membrane porin C
IFJHKHAP_01213	CDS	1053	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
IFJHKHAP_01214	CDS	1059	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
IFJHKHAP_01215	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
IFJHKHAP_01216	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
IFJHKHAP_01217	CDS	507	eco		COG4574	Ecotin
IFJHKHAP_01218	CDS	132				hypothetical protein
IFJHKHAP_01219	CDS	492	napF_2		COG1145	Ferredoxin-type protein NapF
IFJHKHAP_01220	CDS	264	napD		COG3062	Chaperone NapD
IFJHKHAP_01221	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
IFJHKHAP_01222	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
IFJHKHAP_01223	CDS	870	napH		COG0348	Ferredoxin-type protein NapH
IFJHKHAP_01224	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
IFJHKHAP_01225	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
IFJHKHAP_01226	CDS	618	ccmA_3	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
IFJHKHAP_01227	CDS	657	ccmB_3		COG2386	Heme exporter protein B
IFJHKHAP_01228	CDS	738	ccmC_3		COG0755	Heme exporter protein C
IFJHKHAP_01229	CDS	213	ccmD_3		COG3114	Heme exporter protein D
IFJHKHAP_01230	CDS	480	ccmE_3		COG2332	Cytochrome c-type biogenesis protein CcmE
IFJHKHAP_01231	CDS	1932	ccmF_3		COG1138	Cytochrome c-type biogenesis protein CcmF
IFJHKHAP_01232	CDS	558	dsbE_3		COG0526	Thiol:disulfide interchange protein DsbE
IFJHKHAP_01233	CDS	375				hypothetical protein
IFJHKHAP_01234	CDS	246				IS200/IS605 family transposase IS200F
IFJHKHAP_01235	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
IFJHKHAP_01236	CDS	1374	ribZ			Riboflavin transporter RibZ
IFJHKHAP_01237	CDS	108				hypothetical protein
IFJHKHAP_01238	CDS	792	kdgR		COG1414	Transcriptional regulator KdgR
IFJHKHAP_01239	CDS	240				hypothetical protein
IFJHKHAP_01240	CDS	144	mgrB			PhoP/PhoQ regulator MgrB
IFJHKHAP_01241	CDS	288				hypothetical protein
IFJHKHAP_01242	CDS	210	cspC			Cold shock-like protein CspC
IFJHKHAP_01243	CDS	1746	ftsI_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
IFJHKHAP_01244	CDS	810	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
IFJHKHAP_01245	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
IFJHKHAP_01246	CDS	459				hypothetical protein
IFJHKHAP_01247	CDS	852	manZ_2		COG3716	PTS system mannose-specific EIID component
IFJHKHAP_01248	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
IFJHKHAP_01249	CDS	969	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
IFJHKHAP_01250	CDS	1560				hypothetical protein
IFJHKHAP_01251	CDS	1602	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
IFJHKHAP_01252	CDS	1365	sdaA_1	4.3.1.17	COG1760	L-serine dehydratase 1
IFJHKHAP_01253	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
IFJHKHAP_01254	CDS	1365	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
IFJHKHAP_01255	CDS	180				hypothetical protein
IFJHKHAP_01256	CDS	345	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
IFJHKHAP_01257	CDS	1911	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
IFJHKHAP_01258	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
IFJHKHAP_01259	CDS	582	slp		COG3065	Outer membrane protein Slp
IFJHKHAP_01260	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
IFJHKHAP_01261	CDS	246				IS200/IS605 family transposase IS200F
IFJHKHAP_01262	CDS	5733				hypothetical protein
IFJHKHAP_01263	CDS	1374	cysG		COG0007	Siroheme synthase
IFJHKHAP_01264	CDS	810	nirC		COG2116	Nitrite transporter NirC
IFJHKHAP_01265	CDS	327	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
IFJHKHAP_01266	CDS	2544	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
IFJHKHAP_01267	CDS	1182	tsgA		COG0477	Protein TsgA
IFJHKHAP_01268	CDS	573	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
IFJHKHAP_01269	CDS	273				hypothetical protein
IFJHKHAP_01270	CDS	603	fic	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
IFJHKHAP_01271	CDS	564	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
IFJHKHAP_01272	CDS	1218	argD	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
IFJHKHAP_01273	CDS	2088				hypothetical protein
IFJHKHAP_01274	CDS	633	crp		COG0664	cAMP-activated global transcriptional regulator CRP
IFJHKHAP_01275	CDS	405	yhfA		COG1765	Protein YhfA
IFJHKHAP_01276	CDS	870	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
IFJHKHAP_01277	CDS	219				hypothetical protein
IFJHKHAP_01278	CDS	1023				hypothetical protein
IFJHKHAP_01279	CDS	312	ydhR	1.-.-.-		Putative monooxygenase YdhR
IFJHKHAP_01280	CDS	222				hypothetical protein
IFJHKHAP_01281	CDS	1908	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
IFJHKHAP_01282	CDS	552	ywrO	1.6.99.-	COG2249	General stress protein 14
IFJHKHAP_01283	CDS	1806	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
IFJHKHAP_01284	CDS	201				hypothetical protein
IFJHKHAP_01285	CDS	591	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
IFJHKHAP_01286	CDS	219	slyX			Protein SlyX
IFJHKHAP_01287	CDS	819	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
IFJHKHAP_01288	CDS	723	dauR		COG2964	Transcriptional regulator DauR
IFJHKHAP_01289	CDS	387	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
IFJHKHAP_01290	CDS	357	tusC		COG2923	Protein TusC
IFJHKHAP_01291	CDS	288	tusB		COG2168	Protein TusB
IFJHKHAP_01292	CDS	375	rpsL		COG0048	30S ribosomal protein S12
IFJHKHAP_01293	CDS	471	rpsG		COG0049	30S ribosomal protein S7
IFJHKHAP_01294	CDS	2115	fusA		COG0480	Elongation factor G
IFJHKHAP_01295	CDS	1197				hypothetical protein
IFJHKHAP_01296	CDS	246				IS200/IS605 family transposase IS200F
IFJHKHAP_01297	CDS	684				IS3 family transposase ISSen1
IFJHKHAP_01298	CDS	402				IS3 family transposase ISSen1
IFJHKHAP_01299	tRNA	88				tRNA-Ser(gga)
IFJHKHAP_01300	CDS	678	ycaC_2	4.-.-.-	COG1335	putative hydrolase YcaC
IFJHKHAP_01301	CDS	861				hypothetical protein
IFJHKHAP_01302	CDS	912	dmlR_3			HTH-type transcriptional regulator DmlR
IFJHKHAP_01303	CDS	219	infA		COG0361	Translation initiation factor IF-1
IFJHKHAP_01304	CDS	705	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
IFJHKHAP_01305	CDS	1722	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
IFJHKHAP_01306	CDS	1767	cydD		COG4988	ATP-binding/permease protein CydD
IFJHKHAP_01307	CDS	969	trxB	1.8.1.9	COG0492	Thioredoxin reductase
IFJHKHAP_01308	CDS	495	lrp_1		COG1522	Leucine-responsive regulatory protein
IFJHKHAP_01309	CDS	4086				hypothetical protein
IFJHKHAP_01310	CDS	612	lolA		COG2834	Outer-membrane lipoprotein carrier protein
IFJHKHAP_01311	CDS	1344	rarA		COG2256	Replication-associated recombination protein A
IFJHKHAP_01312	CDS	1293	serS	6.1.1.11	COG0172	Serine--tRNA ligase
IFJHKHAP_01313	CDS	2445	dmsA_2	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
IFJHKHAP_01314	CDS	618	dmsB_2		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
IFJHKHAP_01315	CDS	864	dmsC_2		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
IFJHKHAP_01316	CDS	1149	ycaD			putative MFS-type transporter YcaD
IFJHKHAP_01317	CDS	1422	ycaM		COG0531	Inner membrane transporter YcaM
IFJHKHAP_01318	CDS	798	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
IFJHKHAP_01319	CDS	168				hypothetical protein
IFJHKHAP_01320	CDS	960	sopD2			Secreted effector protein sopD2
IFJHKHAP_01321	CDS	2283	pflB	2.3.1.54	COG1882	Formate acetyltransferase 1
IFJHKHAP_01322	CDS	858	focA		COG2116	putative formate transporter 1
IFJHKHAP_01323	CDS	1836	ycaO		COG1944	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
IFJHKHAP_01324	CDS	693				hypothetical protein
IFJHKHAP_01325	CDS	1089	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
